image,label
../images/tamagoyaki/tamagoyaki_0081.jpeg,1
../images/tamagoyaki/tamagoyaki_0039.jpeg,1
../images/tamagoyaki/tamagoyaki_0097.jpeg,1
../images/tamagoyaki/tamagoyaki_0078.jpeg,1
../images/tamagoyaki/tamagoyaki_0003.jpeg,1
../images/tamagoyaki/tamagoyaki_0146.jpeg,1
../images/tamagoyaki/tamagoyaki_0054.jpeg,1
../images/tamagoyaki/tamagoyaki_0111.jpeg,1
../images/tamagoyaki/tamagoyaki_0042.jpeg,1
../images/tamagoyaki/tamagoyaki_0107.jpeg,1
../images/tamagoyaki/tamagoyaki_0015.jpeg,1
../images/tamagoyaki/tamagoyaki_0127.jpeg,1
../images/tamagoyaki/tamagoyaki_0062.jpeg,1
../images/tamagoyaki/tamagoyaki_0035.jpeg,1
../images/tamagoyaki/tamagoyaki_0023.jpeg,1
../images/tamagoyaki/tamagoyaki_0131.jpeg,1
../images/tamagoyaki/tamagoyaki_0074.jpeg,1
../images/tamagoyaki/tamagoyaki_0058.jpeg,1
../images/tamagoyaki/tamagoyaki_0019.jpeg,1
../images/tamagoyaki/tamagoyaki_0018.jpeg,1
../images/tamagoyaki/tamagoyaki_0059.jpeg,1
../images/tamagoyaki/tamagoyaki_0130.jpeg,1
../images/tamagoyaki/tamagoyaki_0075.jpeg,1
../images/tamagoyaki/tamagoyaki_0022.jpeg,1
../images/tamagoyaki/tamagoyaki_0034.jpeg,1
../images/tamagoyaki/tamagoyaki_0126.jpeg,1
../images/tamagoyaki/tamagoyaki_0063.jpeg,1
../images/tamagoyaki/tamagoyaki_0014.jpeg,1
../images/tamagoyaki/tamagoyaki_0043.jpeg,1
../images/tamagoyaki/tamagoyaki_0106.jpeg,1
../images/tamagoyaki/tamagoyaki_0055.jpeg,1
../images/tamagoyaki/tamagoyaki_0110.jpeg,1
../images/tamagoyaki/tamagoyaki_0002.jpeg,1
../images/tamagoyaki/tamagoyaki_0147.jpeg,1
../images/tamagoyaki/tamagoyaki_0096.jpeg,1
../images/tamagoyaki/tamagoyaki_0079.jpeg,1
../images/tamagoyaki/tamagoyaki_0038.jpeg,1
../images/tamagoyaki/tamagoyaki_0080.jpeg,1
../images/tamagoyaki/tamagoyaki_0121.jpeg,1
../images/tamagoyaki/tamagoyaki_0064.jpeg,1
../images/tamagoyaki/tamagoyaki_0033.jpeg,1
../images/tamagoyaki/tamagoyaki_0025.jpeg,1
../images/tamagoyaki/tamagoyaki_0137.jpeg,1
../images/tamagoyaki/tamagoyaki_0072.jpeg,1
../images/tamagoyaki/tamagoyaki_0009.jpeg,1
../images/tamagoyaki/tamagoyaki_0048.jpeg,1
../images/tamagoyaki/tamagoyaki_0087.jpeg,1
../images/tamagoyaki/tamagoyaki_0068.jpeg,1
../images/tamagoyaki/tamagoyaki_0029.jpeg,1
../images/tamagoyaki/tamagoyaki_0091.jpeg,1
../images/tamagoyaki/tamagoyaki_0005.jpeg,1
../images/tamagoyaki/tamagoyaki_0140.jpeg,1
../images/tamagoyaki/tamagoyaki_0052.jpeg,1
../images/tamagoyaki/tamagoyaki_0117.jpeg,1
../images/tamagoyaki/tamagoyaki_0044.jpeg,1
../images/tamagoyaki/tamagoyaki_0101.jpeg,1
../images/tamagoyaki/tamagoyaki_0013.jpeg,1
../images/tamagoyaki/tamagoyaki_0012.jpeg,1
../images/tamagoyaki/tamagoyaki_0045.jpeg,1
../images/tamagoyaki/tamagoyaki_0100.jpeg,1
../images/tamagoyaki/tamagoyaki_0053.jpeg,1
../images/tamagoyaki/tamagoyaki_0116.jpeg,1
../images/tamagoyaki/tamagoyaki_0004.jpeg,1
../images/tamagoyaki/tamagoyaki_0141.jpeg,1
../images/tamagoyaki/tamagoyaki_0090.jpeg,1
../images/tamagoyaki/tamagoyaki_0028.jpeg,1
../images/tamagoyaki/tamagoyaki_0086.jpeg,1
../images/tamagoyaki/tamagoyaki_0069.jpeg,1
../images/tamagoyaki/tamagoyaki_0049.jpeg,1
../images/tamagoyaki/tamagoyaki_0008.jpeg,1
../images/tamagoyaki/tamagoyaki_0136.jpeg,1
../images/tamagoyaki/tamagoyaki_0073.jpeg,1
../images/tamagoyaki/tamagoyaki_0024.jpeg,1
../images/tamagoyaki/tamagoyaki_0032.jpeg,1
../images/tamagoyaki/tamagoyaki_0120.jpeg,1
../images/tamagoyaki/tamagoyaki_0065.jpeg,1
../images/tamagoyaki/tamagoyaki_0119.jpeg,1
../images/tamagoyaki/tamagoyaki_0070.jpeg,1
../images/tamagoyaki/tamagoyaki_0135.jpeg,1
../images/tamagoyaki/tamagoyaki_0027.jpeg,1
../images/tamagoyaki/tamagoyaki_0031.jpeg,1
../images/tamagoyaki/tamagoyaki_0066.jpeg,1
../images/tamagoyaki/tamagoyaki_0089.jpeg,1
../images/tamagoyaki/tamagoyaki_0123.jpeg,1
../images/tamagoyaki/tamagoyaki_0011.jpeg,1
../images/tamagoyaki/tamagoyaki_0103.jpeg,1
../images/tamagoyaki/tamagoyaki_0046.jpeg,1
../images/tamagoyaki/tamagoyaki_0115.jpeg,1
../images/tamagoyaki/tamagoyaki_0050.jpeg,1
../images/tamagoyaki/tamagoyaki_0142.jpeg,1
